| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 80 m12 = 100 | 5.03015, 5.33026, 4.73005 | 10.3296, 12.0149, 8.64435 | 207.603, 229.606, 185.6 | 1.56672, 1.62881, 1.50462 | 76.5776, 88.5626, 64.5927 | 61.1888, 68.2244, 54.1531 | 18.3367, 21.7002, 14.9732 | 7.9, 9.23874, 6.56126 | 99.4237, 113.073, 85.7741 | 261.756, 290.275, 233.237 | 
| tanbeta = 10, m0 = 80 m12 = 120 | 2.45619, 2.60648, 2.3059 | 5.23502, 6.14855, 4.32148 | 50.3935, 55.1334, 45.6536 | 1.05795, 1.10174, 1.01417 | 34.2059, 39.5216, 28.8902 | 31.4395, 34.8448, 28.0341 | 9.26581, 10.9824, 7.54924 | 3.44, 4.06168, 2.81832 | 38.5532, 44.1477, 32.9587 | 116.206, 128.178, 104.234 | 
| tanbeta = 10, m0 = 80 m12 = 140 | 1.29459, 1.37826, 1.21093 | 2.82646, 3.33351, 2.31942 | 17.1175, 18.5175, 15.7175 | 0.733396, 0.765793, 0.700999 | 16.3747, 18.8487, 13.9007 | 17.5222, 19.3129, 15.7315 | 4.68396, 5.56254, 3.80537 | 1.612, 1.92297, 1.30103 | 16.2378, 18.6561, 13.8195 | 55.6123, 61.2121, 50.0126 | 
| tanbeta = 10, m0 = 80 m12 = 160 | 0.726666, 0.775528, 0.677804 | 1.61029, 1.90841, 1.31217 | 7.78348, 8.36923, 7.19774 | 0.521745, 0.545379, 0.498112 | 8.61032, 9.91963, 7.30101 | 10.4395, 11.5282, 9.35072 | 2.42043, 2.87866, 1.9622 | 0.807, 0.972692, 0.641308 | 7.44, 8.62764, 6.25236 | 28.4041, 31.2609, 25.5473 | 
| tanbeta = 10, m0 = 80 m12 = 180 | 0.426089, 0.455274, 0.396903 | 0.959048, 1.14126, 0.776841 | 4.10517, 4.39094, 3.8194 | 0.378831, 0.396721, 0.360941 | 4.69896, 5.40561, 3.99231 | 6.42924, 7.06571, 5.79276 | 1.29131, 1.54123, 1.04139 | 0.425, 0.517982, 0.332018 | 3.66, 4.29809, 3.02191 | 15.2956, 16.8181, 13.773 | 
| tanbeta = 10, m0 = 80 m12 = 200 | 0.260068, 0.278755, 0.24138 | 0.591788, 0.706575, 0.477 | 2.38086, 2.53881, 2.22291 | 0.280297, 0.293937, 0.266656 | 2.67141, 3.07171, 2.2711 | 4.09591, 4.49867, 3.69316 | 0.713858, 0.85428, 0.573436 | 0.2342, 0.288599, 0.179801 | 1.89, 2.24684, 1.53316 | 8.59824, 9.44774, 7.74873 | 
| tanbeta = 10, m0 = 80 m12 = 220 | 0.163268, 0.175303, 0.151233 | 0.377218, 0.451246, 0.30319 | 1.47266, 1.56588, 1.37944 | 0.210766, 0.221345, 0.200186 | 1.57447, 1.81494, 1.334 | 2.68, 2.94303, 2.41697 | 0.4102, 0.494274, 0.326126 | 0.1338, 0.1667, 0.1009 | 1.01, 1.21528, 0.804722 | 5.01, 5.49848, 4.52152 | 
| tanbeta = 10, m0 = 80 m12 = 240 | 0.105198, 0.113047, 0.0973483 | 0.246622, 0.296514, 0.196729 | 0.954918, 1.01319, 0.896644 | 0.160885, 0.169169, 0.152601 | 0.944006, 1.08692, 0.80109 | 1.79142, 1.96838, 1.61445 | 0.2433, 0.295554, 0.191046 | 0.0788, 0.0993315, 0.0582685 | 0.563, 0.686274, 0.439726 | 3.02, 3.33027, 2.70973 | 
| tanbeta = 10, m0 = 80 m12 = 260 | 0.0692372, 0.0744817, 0.0639928 | 0.164752, 0.198919, 0.130585 | 0.644271, 0.682557, 0.605985 | 0.124386, 0.130973, 0.117798 | 0.585327, 0.674195, 0.496459 | 1.22316, 1.34661, 1.0997 | 0.1475, 0.180846, 0.114154 | 0.0476, 0.0606545, 0.0345455 | 0.323, 0.398651, 0.247349 | 1.87, 2.0735, 1.6665 | 
| tanbeta = 10, m0 = 80 m12 = 280 | 0.0463199, 0.0499024, 0.0427375 | 0.112228, 0.136159, 0.0882966 | 0.446954, 0.472659, 0.421249 | 0.0972697, 0.102529, 0.0920106 | 0.367034, 0.422699, 0.311369 | 0.849561, 0.936931, 0.762191 | 0.09213, 0.11391, 0.0703499 | 0.0294, 0.0379368, 0.0208632 | 0.189, 0.236285, 0.141715 | 1.17, 1.30413, 1.03587 | 
