 | Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg | 
 |(scale=1.0) m0=1000, m1/2=780, tanbeta=10, A0=0, sign(mu)=+ve| 1.29402e-05 | 3.15716e-05 | 0.00165621 | 1.19404e-06 | 3.14e-06 | 4.94e-05 | 4.92e-06 | 4.227e-07 | 3.32e-06 | 3.42e-05 |
 |(scale=1.0) m0=1000, m1/2=800, tanbeta=10, A0=0, sign(mu)=+ve| 1.00352e-05 | 2.60552e-05 | 0.00138276 | 1.13141e-06 | 2.34e-06 | 3.77e-05 | 3.833e-06 | 3.184e-07 | 2.26e-06 | 2.47e-05 |
 |(scale=1.0) m0=1000, m1/2=820, tanbeta=10, A0=0, sign(mu)=+ve| 7.79925e-06 | 2.15057e-05 | 0.00115761 | 1.07233e-06 | 1.74e-06 | 2.87e-05 | 2.983e-06 | 2.394e-07 | 1.53e-06 | 1.78e-05 |
 |(scale=1.0) m0=1000, m1/2=840, tanbeta=10, A0=0, sign(mu)=+ve| 6.06227e-06 | 1.77693e-05 | 0.000970921 | 1.01547e-06 | 1.29e-06 | 2.18e-05 | 2.315e-06 | 1.797e-07 | 1.03e-06 | 1.27e-05 |
 |(scale=1.0) m0=1000, m1/2=860, tanbeta=10, A0=0, sign(mu)=+ve| 4.71179e-06 | 1.46636e-05 | 0.000816555 | 9.61167e-07 | 9.52e-07 | 1.64e-05 | 1.796e-06 | 1.344e-07 | 6.92e-07 | 9.1e-06 |
 |(scale=1.0) m0=1000, m1/2=880, tanbeta=10, A0=0, sign(mu)=+ve| 3.64694e-06 | 1.21063e-05 | 0.000686886 | 9.08871e-07 | 7.01e-07 | 1.24e-05 | 1.3943e-06 | 1.003e-07 | 4.62e-07 | 6.47e-06 |
 |(scale=1.0) m0=1000, m1/2=900, tanbeta=10, A0=0, sign(mu)=+ve| 2.82698e-06 | 9.97214e-06 | 0.000578446 | 8.58717e-07 | 5.15e-07 | 9.27e-06 | 1.0879e-06 | 7.46e-08 | 3.02e-07 | 4.59e-06 |
 |(scale=1.0) m0=1000, m1/2=920, tanbeta=10, A0=0, sign(mu)=+ve| 2.19645e-06 | 8.23554e-06 | 0.000487854 | 8.11873e-07 | 3.75e-07 | 6.92e-06 | 8.446e-07 | 5.55e-08 | 2e-07 | 3.24e-06 |
 |(scale=1.0) m0=1000, m1/2=940, tanbeta=10, A0=0, sign(mu)=+ve| 1.70888e-06 | 6.79653e-06 | 0.00041252 | 7.66358e-07 | 2.72e-07 | 5.14e-06 | 6.554e-07 | 4.098e-08 | 1.31e-07 | 2.27e-06 |
 |(scale=1.0) m0=1000, m1/2=960, tanbeta=10, A0=0, sign(mu)=+ve| 1.33101e-06 | 5.60852e-06 | 0.000348789 | 7.23062e-07 | 1.95e-07 | 3.8e-06 | 5.085e-07 | 3.025e-08 | 8.61e-08 | 1.59e-06 |
 |(scale=1.0) m0=1000, m1/2=980, tanbeta=10, A0=0, sign(mu)=+ve| 1.03835e-06 | 4.62265e-06 | 0.000295476 | 6.81881e-07 | 1.39e-07 | 2.8e-06 | 3.944e-07 | 2.225e-08 | 5.59e-08 | 1.1e-06 |
 |(scale=1.0) m0=100, m1/2=100, tanbeta=10, A0=0, sign(mu)=+ve| 4.705 | 9.2918 | 199.356 | 0.7838 | 62.9 | 52.6 | 15.354 | 7 | 88.9 | 229 |
 |(scale=1.0) m0=100, m1/2=120, tanbeta=10, A0=0, sign(mu)=+ve| 2.3144 | 4.8146 | 49.8899 | 0.59284 | 29.2 | 28.1 | 7.968 | 3.13 | 34.3 | 103 |
 |(scale=1.0) m0=100, m1/2=140, tanbeta=10, A0=0, sign(mu)=+ve| 1.2274 | 2.6426 | 17.0699 | 0.44638 | 14.5 | 16 | 4.112 | 1.494 | 14.6 | 49.8 |
 |(scale=1.0) m0=100, m1/2=160, tanbeta=10, A0=0, sign(mu)=+ve| 0.69054 | 1.52373 | 7.77552 | 0.33792 | 7.63 | 9.59 | 2.165 | 0.757 | 6.69 | 25.7 |
 |(scale=1.0) m0=100, m1/2=180, tanbeta=10, A0=0, sign(mu)=+ve| 0.40743 | 0.91445 | 4.11324 | 0.25765 | 4.2 | 5.98 | 1.1756 | 0.403 | 3.27 | 14 |
