 | Sub-processes | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
 |(scale=2.0) m0=1020, m1/2=440, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00101379 | 0.000585067 | 0.0489871 | 5.7212e-06 | 0.00026 | 0.00226 | 0.0004032 | 7.8e-05 | 0.00225 | 0.0057 |
 |(scale=2.0) m0=1020, m1/2=460, tanbeta=40, A0=-500, sign(mu)=+ve| 0.00076937 | 0.000490176 | 0.0384886 | 5.6138e-06 | 0.000205 | 0.00183 | 0.0003152 | 6.19e-05 | 0.00148 | 0.00419 |
 |(scale=2.0) m0=1020, m1/2=480, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000587763 | 0.000409325 | 0.0304546 | 5.5152e-06 | 0.00016 | 0.00148 | 0.0002461 | 4.84e-05 | 0.000983 | 0.00309 |
 |(scale=2.0) m0=1020, m1/2=500, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000449715 | 0.000343123 | 0.0242783 | 5.3964e-06 | 0.000125 | 0.00119 | 0.0001926 | 3.779e-05 | 0.000655 | 0.00227 |
 |(scale=2.0) m0=1020, m1/2=520, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000344502 | 0.000286091 | 0.0193767 | 5.2895e-06 | 9.76e-05 | 0.000952 | 0.0001502 | 2.951e-05 | 0.000439 | 0.00167 |
 |(scale=2.0) m0=1020, m1/2=540, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000264753 | 0.000238887 | 0.0155707 | 5.1793e-06 | 7.58e-05 | 0.00076 | 0.0001168 | 2.296e-05 | 0.000296 | 0.00123 |
 |(scale=2.0) m0=1020, m1/2=580, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000157383 | 0.000165947 | 0.0101981 | 4.95178e-06 | 4.53e-05 | 0.00048 | 7.148e-05 | 1.387e-05 | 0.000136 | 0.000668 |
 |(scale=2.0) m0=1020, m1/2=600, tanbeta=40, A0=-500, sign(mu)=+ve| 0.000121631 | 0.000138256 | 0.00829079 | 4.83461e-06 | 3.49e-05 | 0.00038 | 5.578e-05 | 1.079e-05 | 9.23e-05 | 0.000491 |
 |(scale=2.0) m0=1020, m1/2=60, tanbeta=40, A0=-500, sign(mu)=+ve| 0.40367 | 0.007977 | 7.22803 | 6.91764e-06 | 0.00607 | 0.0291 | 0.01674 | 0.002829 | 630 | 4.08 |
 |(scale=2.0) m0=1020, m1/2=620, tanbeta=40, A0=-500, sign(mu)=+ve| 9.40762e-05 | 0.000115045 | 0.00677767 | 4.71584e-06 | 2.68e-05 | 0.000299 | 4.363e-05 | 8.36e-06 | 6.29e-05 | 0.000361 |
 |(scale=2.0) m0=1020, m1/2=640, tanbeta=40, A0=-500, sign(mu)=+ve| 7.28932e-05 | 9.58016e-05 | 0.00555197 | 4.59987e-06 | 2.06e-05 | 0.000235 | 3.407e-05 | 6.46e-06 | 4.3e-05 | 0.000265 |
 |(scale=2.0) m0=1020, m1/2=660, tanbeta=40, A0=-500, sign(mu)=+ve| 5.65884e-05 | 7.97296e-05 | 0.00456716 | 4.4858e-06 | 1.57e-05 | 0.000184 | 2.662e-05 | 5e-06 | 2.94e-05 | 0.000195 |
 |(scale=2.0) m0=1020, m1/2=680, tanbeta=40, A0=-500, sign(mu)=+ve| 4.3872e-05 | 6.62379e-05 | 0.00377106 | 4.37184e-06 | 1.2e-05 | 0.000144 | 2.074e-05 | 3.86e-06 | 2.01e-05 | 0.000143 |
 |(scale=2.0) m0=1020, m1/2=700, tanbeta=40, A0=-500, sign(mu)=+ve| 3.41015e-05 | 5.51897e-05 | 0.00311401 | 4.26009e-06 | 9.13e-06 | 0.000112 | 1.619e-05 | 2.976e-06 | 1.38e-05 | 0.000104 |
 |(scale=2.0) m0=1020, m1/2=720, tanbeta=40, A0=-500, sign(mu)=+ve| 2.65101e-05 | 4.57353e-05 | 0.00258206 | 4.14895e-06 | 6.93e-06 | 8.69e-05 | 1.265e-05 | 2.287e-06 | 9.44e-06 | 7.63e-05 |
 |(scale=2.0) m0=1020, m1/2=740, tanbeta=40, A0=-500, sign(mu)=+ve| 2.06427e-05 | 3.81116e-05 | 0.00214003 | 4.03802e-06 | 5.24e-06 | 6.72e-05 | 9.91e-06 | 1.762e-06 | 6.46e-06 | 5.56e-05 |
 |(scale=2.0) m0=1020, m1/2=760, tanbeta=40, A0=-500, sign(mu)=+ve| 1.60752e-05 | 3.16638e-05 | 0.00178445 | 3.93041e-06 | 3.96e-06 | 5.18e-05 | 7.745e-06 | 1.355e-06 | 4.41e-06 | 4.05e-05 |
 |(scale=2.0) m0=1020, m1/2=80, tanbeta=40, A0=-500, sign(mu)=+ve| 0.26947 | 0.0075017 | 123.166 | 6.8796e-06 | 0.00575 | 0.0284 | 0.01574 | 0.002619 | 161 | 2.6 |
 |(scale=2.0) m0=1040, m1/2=100, tanbeta=40, A0=-500, sign(mu)=+ve| 0.17471 | 0.0061678 | 40.7623 | 5.72246e-06 | 0.00448 | 0.0233 | 0.01252 | 0.002008 | 52.1 | 1.56 |
 |(scale=2.0) m0=1040, m1/2=120, tanbeta=40, A0=-500, sign(mu)=+ve| 0.122814 | 0.005669 | 18.3093 | 5.6948e-06 | 0.00412 | 0.0221 | 0.01115 | 0.001791 | 19.8 | 1.05 |
 |(scale=2.0) m0=1040, m1/2=140, tanbeta=40, A0=-500, sign(mu)=+ve| 0.087122 | 0.0051459 | 9.5444 | 5.67487e-06 | 0.00374 | 0.0207 | 0.009795 | 0.001563 | 8.35 | 0.723 |
 |(scale=2.0) m0=1040, m1/2=160, tanbeta=40, A0=-500, sign(mu)=+ve| 0.062661 | 0.0046268 | 5.45085 | 5.64291e-06 | 0.00333 | 0.0191 | 0.006991 | 0.001347 | 3.84 | 0.503 |
 |(scale=2.0) m0=1040, m1/2=180, tanbeta=40, A0=-500, sign(mu)=+ve| 0.045344 | 0.00411648 | 3.30391 | 5.6177e-06 | 0.00293 | 0.0173 | 0.006863 | 0.001143 | 1.87 | 0.353 |
 |(scale=2.0) m0=1040, m1/2=200, tanbeta=40, A0=-500, sign(mu)=+ve| 0.032994 | 0.00362632 | 2.10562 | 5.56916e-06 | 0.00254 | 0.0155 | 0.005832 | 0.00096 | 0.96 | 0.25 |
 |(scale=2.0) m0=1040, m1/2=20, tanbeta=40, A0=-500, sign(mu)=+ve| 0.8109 | 0.0074911 | 333.143 | 5.70169e-06 | 0.00529 | 0.0252 | 0.0132 | 0.002398 | 67200 | 11.5 |
 |(scale=2.0) m0=1040, m1/2=220, tanbeta=40, A0=-500, sign(mu)=+ve| 0.0241258 | 0.0031749 | 1.39114 | 5.52647e-06 | 0.00218 | 0.0137 | 0.004787 | 0.000797 | 0.512 | 0.178 |
